http://www.about.com/gi/pages/ethics.htm  False	False	True	False	False	
http://www.about.com/gi/pages/uagree.htm	False	False	False	False	False	
http://www.about.com/parenting/	False	False	True	False	False	
http://www.about.com/health/	False	False	True	False	False	
http://www.about.com/citiestowns/	False	False	True	False	False	
http://www.about.com/	False	False	True	False	True	
http://www.about.com/videogames/	False	False	True	False	False	
http://www.about.com/	False	False	True	False	True	
http://www.dolectures.com/	True	False	False	False	False	
http://www.dolectures.com/tone/challenging/	True	False	False	False	False	
http://www.dolectures.com/about/	True	False	False	False	False	
http://www.dolectures.com/workshops/	True	False	False	False	False	
http://www.dolectures.com/do-workshops/	True	False	False	False	False	
http://www.dolectures.com/lectures/	True	False	False	False	False	
http://www.dolectures.com/tone/inspiring/	True	False	False	False	False	
http://www.dolectures.com/lectures/why-the-words-you-say-to-yourself-matter/	True	False	False	False	False	
http://www.dolectures.com/donate/	True	False	False	False	False	
http://www.dolectures.com/tone/informative/	True	False	False	False	False	
http://www.dolectures.com/lectures/how-love-luck-and-ideas-got-a-town-making-jeans-again/	True	False	False	False	False	
http://www.dolectures.com/resources/	True	False	False	False	False	
http://www.dolectures.com/the-event/	True	False	False	False	False	
http://www.dolectures.com	True	False	False	False	False	
http://www.dolectures.com/tone/soulful/	True	False	False	False	False	
http://www.dolectures.com/lectures/whats-the-future-of-the-book-in-the-ipad-era/	True	False	False	False	False	
